0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
61,"Thus, when the industrial cycle is in its phase of crisis, a general fall in the price of commodities is expressed as a rise in the relative value of money, and, in the phase of prosperity, a general rise in the price of commodities is expressed as a fall in the relative value of money.","So drückt sich in der Krisenphase des industriellen Zyklus der allgemeine Fall der Warenpreise als Steigen des relativen Geldwerts, und in der Prosperitätsphase das allgemeine Steigen der Warenpreise als Fall des relativen Geldwerts aus.",2.7475759216839974
62,"The so-called Currency School* conclude from this that with high prices too much money is in circulation, with low prices too little. Their ignorance and complete misunderstanding of the facts are worthily paralleled by the economists, who interpret the above phenomena of accumulation by saying that in one case there are too few, and in the other, too many wage-labourers in existence.","Die sog. Currency-Schule schließt daraus, daß bei hohen Preisen zu viel, bei niedrigen zu wenig Geld zirkuliert. <3. und 4. Auflage: bei hohen Preisen zu wenig, bei niedrigen zu viel Geld zirkuliert.> Ihre Ignoranz und völlige Verkennung der Tatsachen finden würdige Parallele in den Ökonomen, welche jene Phänomene der Akkumulation dahin deuten, daß das eine Mal zu wenig und das andre Mal zu viel Lohnarbeiter existieren.",2.9175309736472657
63,"The law of capitalist production which really lies at the basis of the supposed ‘natural law of population’ can be reduced simply to this: the relation between capital, accumulation and the rate of wages is nothing other than the relation between the unpaid labour which has been transformed into capital and the additional paid labour necessary to set in motion this additional capital.","Das Gesetz der kapitalistischen Produktion, das dem angeblichen ""natürlichen Populationsgesetz"" zugrunde liegt, kommt einfach auf dies her- aus: Das Verhältnis zwischen Kapital, Akkumulation und Lohnrate ist nichts als das Verhältnis zwischen der unbezahlten, in Kapital verwandelten Arbeit und der zur Bewegung des Zusatzkapitals erforderlichen zuschüssigen Arbeit.",2.723453804591295
64,"It is therefore in no way a relation between two magnitudes which are mutually independent, i.e. between the magnitude of the capital and the numbers of the working population; it is rather, at bottom, only the relation between the unpaid and the paid labour of the same working population.","Es ist also keineswegs ein Verhältnis zweier voneinander unabhängigen Größen, einerseits der Größe des Kapitals, andrerseits der Zahl der Arbeiterbevölkerung, es ist vielmehr in letzter Instanz nur das Verhältnis zwischen der unbezahlten und der bezahlten Arbeit derselben Arbeiterbevölkerung.",2.7406538299742507
65,"If the quantity of unpaid labour supplied by the working class and accumulated by the capitalist class increases so rapidly that its transformation into capital requires an extraordinary addition of paid labour, then wages rise and, all other circumstances remaining equal, the unpaid labour diminishes in proportion.","Wächst die Menge der von der Arbeiterklasse gelieferten und von der Kapitalistenklasse akkumulierten, unbezahlten Arbeit rasch genug, um nur durch einen außergewöhnlichen Zuschuß bezahlter Arbeit sich in Kapital verwandeln zu können, so steigt der Lohn, und alles andre gleichgesetzt, nimmt die unbezahlte Arbeit im Verhältnis ab.",3.2054447677380877
66,"But as soon as this diminution touches the point at which the surplus labour that nourishes capital is no longer supplied in normal quantity, a reaction sets in: a smaller part of revenue is capitalized, accumulation slows down, and the rising movement of wages comes up against an obstacle.","Sobald aber diese Abnahme den Punkt berührt, wo die das Kapital ernährende Mehrarbeit nicht mehr in normaler Menge angeboten wird, so tritt eine Reaktion ein: ein geringerer Teil der Revenue wird kapitalisiert, die Akkumulation erlahmt, und die steigende Lohnbewegung empfängt einen Gegenschlag.",3.2083036591460408
67,"The rise of wages is therefore confined within limits that not only leave intact the foundations of the capitalist system, but also secure its reproduction on an increasing scale.","Die Erhöhung des Arbeitspreises bleibt also eingebannt in Grenzen, die die Grundlagen des kapitalistischen Systems nicht nur unangetastet lassen, sondern auch seine Reproduktion auf wachsender Stufenleiter sichern.",2.6179362957678713
68,"The law of capitalist accumulation, mystified by the economists into a supposed law of nature, in fact expresses the situation that the very nature of accumulation excludes every diminution in the degree of exploitation of labour, and every rise in the price of labour, which could seriously imperil the continual reproduction, on an ever larger scale, of the capital-relation.","Das in ein Naturgesetz mystifizierte Gesetz der kapitalistischen Akkumulation drückt also in der Tat nur aus, daß ihre Natur jede solche Abnahme im Exploitationsgrad der Arbeit oder jede solche Steigerung des Arbeitspreises ausschließt, welche die stetige Reproduktion des Kapitalverhältnisses und seine Reproduktion auf stets erweiterter Stufenleiter ernsthaft gefährden könnte.",3.077397068388641
69,"It cannot be otherwise in a mode of production in which the worker exists to satisfy the need of the existing values for valorization, as opposed to the inverse situation, in which objective wealth is there to satisfy the worker’s own need for development.","Es kann nicht anders sein in einer Produktionsweise, worin der Arbeiter für die Verwertungsbedürfnisse vorhandner Werte, statt umgekehrt der gegenständliche Reichtum für die Entwicklungsbedürfnisse des Arbeiters da ist.",2.964828602125465
70,"Just as man is governed, in religion, by the products of his own brain, so, in capitalist production, he is governed by the products of his own hand.","Wie der Mensch in der Religion vom Machwerk seines eignen Kopfes, so wird er in der kapitalistischen Produktion vom Machwerk seiner eignen Hand beherrscht.",2.9029679016984247
71,"2. A RELATIVE DIMINUTION OF THE VARIABLE PART OF CAPITAL OCCURS IN THE COURSE OF THE FURTHER PROGRESS OF ACCUMULATION AND OF THE CONCENTRATION ACCOMPANYING IT According to the economists themselves, it is neither the actual extent of social wealth nor the magnitude of the capital already acquired that leads to a rise of wages, but only the constant growth of accumulation and the degree of rapidity of that growth (Adam Smith, Book I, Chapter 8).","(77a) 2. Relative Abnahme des variablen Kapitalteils im Fortgang der Akkumulation und der sie begleitenden Konzentration Nach den Ökonomen selbst ist es weder der vorhandne Umfang des gesellschaftlichen Reichtums noch die Größe des bereits erworbnen Kapitals, die eine Lohnerhöhung herbeiführen, sondern lediglich das fortgesetzte Wachsen der Akkumulation und der Geschwindigkeitsgrad ihres Wachstums (A. Smith, Buch 1, Kap. 8).",2.9030820286833805
72,"So far, we have considered only one special phase of this process, that in which the increase of capital occurs while the technical composition of capital remains constant.","Bisher haben wir nur eine besondre Phase dieses Prozesses betrachtet, diejenige, in der der Kapitalzuwachs stattfindet bei gleichbleibender technischer Zusammensetzung des Kapitals.",2.538583692071278
73,But the process goes beyond this phase.,Aber der Prozeß schreitet über diese Phase hinaus.,2.441189696643794
74,"Given the general basis of the capitalist system, a point is reached in the course of accumulation at which the development of the productivity of social labour becomes the most powerful lever of accumulation.","Die allgemeinen Grundlagen des kapitalistischen Systems einmal gegeben, tritt im Verlauf der Akkumulation jedesmal ein Punkt ein, wo die Entwicklung der Produktivität der gesellschaftlichen Arbeit der mächtigste Hebel der Akkumulation wird.",2.645782333060517
75,"‘The same cause,’ says Adam Smith, ‘which raises the wages of labour, the increase of stock, tends to increase its productive powers, and to make a smaller quantity of labour produce a greater quantity of work.’* Apart from natural conditions, such as the fertility of the soil, etc., and apart from the skill of independent and isolated producers (shown rather qualitatively in the high standard of their products than quantitatively in their mass), the level of the social productivity of labour is expressed in the relative extent of the means of production that one worker, during a given time, with the same degree of intensity of labour-power, turns into products.","Dieselbe Ursache, sagt A. Smith, die die Löhne erhöht, nämlich die Zunahme des Kapitals, treibt zur Steigerung der produktiven Fähigkeiten der Arbeit und setzt eine kleinere Arbeitsmenge instand, eine größere Menge von Produkten zu erzeugen."" Abgesehn von Naturbedingungen, wie Fruchtbarkeit des Bodens usw., und vom Geschick unabhängiger und isoliert arbeitender Produzenten, das sich jedoch mehr qualitativ in der Güte als quantitativ in der Masse des Machwerks bewährt, drückt sich der gesellschaftliche Produktivgrad der Arbeit aus im relativen Größenumfang der Produktionsmittel, welche ein Arbeiter, während gegebner Zeit, mit derselben Anspannung von Arbeitskraft, in Produkt verwandelt.",2.8516251924226146
76,The mass of means of production with which he functions in this way increases with the productivity of his labour.,"Die Masse der Produktionsmittel, womit er funktioniert, wächst mit der Produktivität seiner Arbeit.",2.6462647107417165
77,But those means of production play a double role.,Diese Produktionsmittel spielen dabei eine doppelte Rolle.,2.671583495530638
78,"The increase of some is a consequence, that of the others is a condition, of the increasing productivity of labour.","Das Wachstum der einen ist Folge, das der andren Bedingung der wachsenden Produktivität der Arbeit.",2.1576590964219586
79,"For example, the consequence of the division of labour (under manufacture) and the application of machinery is that more raw material is worked up in the same time, and therefore a greater mass of raw material and auxiliary substances enters into the labour process.","Z.B. mit der manufakturmäßigen Teilung der Arbeit und der Anwendung von Maschinerie wird in derselben Zeit mehr Rohmaterial verarbeitet, tritt also größere Masse von Rohmaterial und Hilfsstoffen in den Arbeitsprozeß ein.",2.8763774638441313
80,That is the consequence of the increasing productivity of labour.,Das ist die Folge der wachsenden Produktivität der Arbeit.,1.9577448697315796
81,"On the other hand, the mass of machinery, beasts of burden, mineral manures, drain-pipes, etc. is a condition of the increasing productivity of labour.","Andrerseits ist die Masse der angewandten Maschinerie, Arbeitsviehs, mineralischen Düngers, Drainierungsröhren usw. Bedingung der wachsenden Produktivität der Arbeit.",3.1926146530720216
82,"This is also true of the means of production concentrated in buildings, furnaces, means of transport, etc.","Ebenso die Masse der in Baulichkeiten, Riesenöfen, Trans- portmitteln usw. konzentrierten Produktionsmittel.",3.312896732851138
83,"But whether condition or consequence, the growing extent of the means of production, as compared with the labour-power incorporated into them, is an expression of the growing productivity of labour.","Ob aber Bedingung oder Folge, der wachsende Größenumfang der Produktionsmittel im Vergleich zu der ihnen einverleibten Arbeitskraft drückt die wachsende Produktivität der Arbeit aus.",2.3933728651667634
84,"The increase of the latter appears, therefore, in the diminution of the mass of labour in proportion to the mass of means of production moved by it, or in the diminution of the subjective factor of the labour process as compared with the objective factor.","Die Zunahme der letzteren erscheint also in der Abnahme der Arbeitsmasse verhältnismäßig zu der von ihr bewegten Masse von Produktionsmitteln oder in der Größenabnahme des subjektiven Faktors des Arbeitsprozesses, verglichen mit seinen objektiven Faktoren.",2.851821741467789
85,"This change in the technical composition of capital, this growth in the mass of the means of production, as compared with the mass of the labour-power that vivifies them, is reflected in its value-composition by the increase of the constant constituent of capital at the expense of its variable constituent.","Diese Veränderung in der technischen Zusammensetzung des Kapitals, das Wachstum in der Masse der Produktionsmittel, verglichen mit der Masse der sie belebenden Arbeitskraft, spiegelt sich wider in seiner Wertzusammensetzung, in der Zunahme des konstanten Bestandteils des Kapitalwerts auf Kosten seines variablen Bestandteils.",2.650809707252531
86,"There may be, for example, originally 50 per cent of a capital laid out in means of production, and 50 per cent in labour-power; later on, with the development of the productivity of labour, 80 per cent may be laid out in means of production, 20 per cent in labour-power and so on. This law of the progressive growth of the constant part of capital in comparison with the variable part is confirmed at every step (as already shown) by the comparative analysis of the prices of commodities, whether we compare different economic epochs or different nations in the same epoch.","Es werden z.B. von einem Kapital, prozentweis berechnet, ursprünglich je 50% in Produktionsmitteln und je 50% in Arbeitskraft ausgelegt, später, mit der Entwicklung des Produktivgrads der Arbeit, je 80% in Produktionsmitteln und je 20% in Arbeitskraft usw. Dies Gesetz des steigenden Wachstums des konstanten Kapitalteils im Verhältnis zum variablen wird auf jedem Schritt bestätigt (wie schon oben entwickelt) durch die vergleichende Analyse der Warenpreise, gleichviel ob wir verschiedne ökonomische Epochen bei einer einzigen Nation vergleichen oder verschiedne Nationen in derselben Epoche.",2.7607048533087153
